start_tsc 9263541789443575 start_tsp 1739292286982504362
NODE_N=50
Initialization...
setting device 0 with name NVIDIA A100-PCIE-40GB
CUPTI_ACTIVITY_ATTR_DEVICE_BUFFER_SIZE = 3200000 B
CUPTI_ACTIVITY_ATTR_DEVICE_BUFFER_SIZE = 6400000 B
CUPTI_ACTIVITY_ATTR_DEVICE_BUFFER_POOL_LIMIT = 250
CUPTI_ACTIVITY_ATTR_DEVICE_BUFFER_POOL_LIMIT = 500
OK, begin to generate orders.
CPU_Times,1739292287507620352,1739292288044127744,536507392
Overlap_Times,0,0,0
RUNTIME cudaMalloc_v3020 (cbid=20), 1739292287507631134,1739292287507770316,139182, process 3626769, thread 2732793856, correlation 1
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035657302,1739292288035657502,200, process 3626769, thread 2732793856, correlation 12281
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035657813,1739292288035657923,110, process 3626769, thread 2732793856, correlation 12282
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035657983,1739292288035658073,90, process 3626769, thread 2732793856, correlation 12283
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035658133,1739292288035658334,201, process 3626769, thread 2732793856, correlation 12284
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288035658504,1739292288035658705,201, process 3626769, thread 2732793856, correlation 12285
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288035658775,1739292288035658865,90, process 3626769, thread 2732793856, correlation 12286
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035658925,1739292288035659145,220, process 3626769, thread 2732793856, correlation 12287
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035659206,1739292288035659406,200, process 3626769, thread 2732793856, correlation 12288
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035659696,1739292288035659807,111, process 3626769, thread 2732793856, correlation 12289
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035659867,1739292288035659977,110, process 3626769, thread 2732793856, correlation 12290
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035660037,1739292288035660227,190, process 3626769, thread 2732793856, correlation 12291
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288035660348,1739292288035660538,190, process 3626769, thread 2732793856, correlation 12292
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288035660608,1739292288035660698,90, process 3626769, thread 2732793856, correlation 12293
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035660758,1739292288035660979,221, process 3626769, thread 2732793856, correlation 12294
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035661039,1739292288035661229,190, process 3626769, thread 2732793856, correlation 12295
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035661540,1739292288035661650,110, process 3626769, thread 2732793856, correlation 12296
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035661710,1739292288035661790,80, process 3626769, thread 2732793856, correlation 12297
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035661860,1739292288035662191,331, process 3626769, thread 2732793856, correlation 12298
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288035662752,1739292288035662942,190, process 3626769, thread 2732793856, correlation 12299
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288035663003,1739292288035663103,100, process 3626769, thread 2732793856, correlation 12300
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035663163,1739292288035663373,210, process 3626769, thread 2732793856, correlation 12301
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035663434,1739292288035663634,200, process 3626769, thread 2732793856, correlation 12302
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035663904,1739292288035664015,111, process 3626769, thread 2732793856, correlation 12303
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035664075,1739292288035664185,110, process 3626769, thread 2732793856, correlation 12304
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035664245,1739292288035664435,190, process 3626769, thread 2732793856, correlation 12305
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288035664565,1739292288035664756,191, process 3626769, thread 2732793856, correlation 12306
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288035664816,1739292288035664916,100, process 3626769, thread 2732793856, correlation 12307
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035664976,1739292288035665487,511, process 3626769, thread 2732793856, correlation 12308
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035665698,1739292288035666189,491, process 3626769, thread 2732793856, correlation 12309
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035666700,1739292288035666810,110, process 3626769, thread 2732793856, correlation 12310
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035666860,1739292288035666960,100, process 3626769, thread 2732793856, correlation 12311
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035667020,1739292288035667210,190, process 3626769, thread 2732793856, correlation 12312
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288035667361,1739292288035667541,180, process 3626769, thread 2732793856, correlation 12313
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288035667611,1739292288035667702,91, process 3626769, thread 2732793856, correlation 12314
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035667762,1739292288035667972,210, process 3626769, thread 2732793856, correlation 12315
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035668032,1739292288035668232,200, process 3626769, thread 2732793856, correlation 12316
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035668764,1739292288035668874,110, process 3626769, thread 2732793856, correlation 12317
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035668934,1739292288035669034,100, process 3626769, thread 2732793856, correlation 12318
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035669094,1739292288035669285,191, process 3626769, thread 2732793856, correlation 12319
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288035669405,1739292288035669895,490, process 3626769, thread 2732793856, correlation 12320
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288035670256,1739292288035670356,100, process 3626769, thread 2732793856, correlation 12321
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035670527,1739292288035670737,210, process 3626769, thread 2732793856, correlation 12322
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035670797,1739292288035671008,211, process 3626769, thread 2732793856, correlation 12323
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035671388,1739292288035671498,110, process 3626769, thread 2732793856, correlation 12324
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035671699,1739292288035671799,100, process 3626769, thread 2732793856, correlation 12325
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035671859,1739292288035672050,191, process 3626769, thread 2732793856, correlation 12326
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288035672350,1739292288035672531,181, process 3626769, thread 2732793856, correlation 12327
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288035672601,1739292288035672691,90, process 3626769, thread 2732793856, correlation 12328
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035672911,1739292288035673122,211, process 3626769, thread 2732793856, correlation 12329
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035673302,1739292288035673512,210, process 3626769, thread 2732793856, correlation 12330
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035673793,1739292288035673903,110, process 3626769, thread 2732793856, correlation 12331
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035674063,1739292288035674164,101, process 3626769, thread 2732793856, correlation 12332
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035674224,1739292288035674414,190, process 3626769, thread 2732793856, correlation 12333
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288035674544,1739292288035674735,191, process 3626769, thread 2732793856, correlation 12334
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288035674795,1739292288035674885,90, process 3626769, thread 2732793856, correlation 12335
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035674945,1739292288035675165,220, process 3626769, thread 2732793856, correlation 12336
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035675216,1739292288035675416,200, process 3626769, thread 2732793856, correlation 12337
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035675666,1739292288035675777,111, process 3626769, thread 2732793856, correlation 12338
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035675837,1739292288035675947,110, process 3626769, thread 2732793856, correlation 12339
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035676007,1739292288035676198,191, process 3626769, thread 2732793856, correlation 12340
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288035676338,1739292288035676528,190, process 3626769, thread 2732793856, correlation 12341
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288035676598,1739292288035676688,90, process 3626769, thread 2732793856, correlation 12342
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035676748,1739292288035676959,211, process 3626769, thread 2732793856, correlation 12343
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035677019,1739292288035677219,200, process 3626769, thread 2732793856, correlation 12344
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035677460,1739292288035677570,110, process 3626769, thread 2732793856, correlation 12345
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035677630,1739292288035677730,100, process 3626769, thread 2732793856, correlation 12346
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035677790,1739292288035677981,191, process 3626769, thread 2732793856, correlation 12347
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288035678141,1739292288035678331,190, process 3626769, thread 2732793856, correlation 12348
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288035678391,1739292288035678492,101, process 3626769, thread 2732793856, correlation 12349
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035678552,1739292288035678762,210, process 3626769, thread 2732793856, correlation 12350
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035678822,1739292288035679013,191, process 3626769, thread 2732793856, correlation 12351
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035679363,1739292288035679473,110, process 3626769, thread 2732793856, correlation 12352
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035679534,1739292288035679624,90, process 3626769, thread 2732793856, correlation 12353
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035679694,1739292288035679874,180, process 3626769, thread 2732793856, correlation 12354
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288035680025,1739292288035680215,190, process 3626769, thread 2732793856, correlation 12355
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288035680275,1739292288035680375,100, process 3626769, thread 2732793856, correlation 12356
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035680435,1739292288035680646,211, process 3626769, thread 2732793856, correlation 12357
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035680706,1739292288035680906,200, process 3626769, thread 2732793856, correlation 12358
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035681738,1739292288035681858,120, process 3626769, thread 2732793856, correlation 12359
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035681918,1739292288035682008,90, process 3626769, thread 2732793856, correlation 12360
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035682069,1739292288035682259,190, process 3626769, thread 2732793856, correlation 12361
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288035682399,1739292288035682590,191, process 3626769, thread 2732793856, correlation 12362
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288035682659,1739292288035682750,91, process 3626769, thread 2732793856, correlation 12363
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035682810,1739292288035683020,210, process 3626769, thread 2732793856, correlation 12364
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035683080,1739292288035683281,201, process 3626769, thread 2732793856, correlation 12365
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035683541,1739292288035683652,111, process 3626769, thread 2732793856, correlation 12366
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035683712,1739292288035683822,110, process 3626769, thread 2732793856, correlation 12367
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035683892,1739292288035684082,190, process 3626769, thread 2732793856, correlation 12368
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288035684222,1739292288035684413,191, process 3626769, thread 2732793856, correlation 12369
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288035684473,1739292288035684573,100, process 3626769, thread 2732793856, correlation 12370
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035684633,1739292288035684844,211, process 3626769, thread 2732793856, correlation 12371
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035684904,1739292288035685104,200, process 3626769, thread 2732793856, correlation 12372
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035685555,1739292288035685665,110, process 3626769, thread 2732793856, correlation 12373
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035685725,1739292288035685836,111, process 3626769, thread 2732793856, correlation 12374
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035685896,1739292288035686086,190, process 3626769, thread 2732793856, correlation 12375
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288035686236,1739292288035686427,191, process 3626769, thread 2732793856, correlation 12376
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288035686487,1739292288035686577,90, process 3626769, thread 2732793856, correlation 12377
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035686637,1739292288035686847,210, process 3626769, thread 2732793856, correlation 12378
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035686918,1739292288035687108,190, process 3626769, thread 2732793856, correlation 12379
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035687929,1739292288035688130,201, process 3626769, thread 2732793856, correlation 12380
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035688250,1739292288035688441,191, process 3626769, thread 2732793856, correlation 12381
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035688571,1739292288035688951,380, process 3626769, thread 2732793856, correlation 12382
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288035689242,1739292288035689462,220, process 3626769, thread 2732793856, correlation 12383
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288035689523,1739292288035689623,100, process 3626769, thread 2732793856, correlation 12384
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035689683,1739292288035689893,210, process 3626769, thread 2732793856, correlation 12385
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035689953,1739292288035690144,191, process 3626769, thread 2732793856, correlation 12386
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035690444,1739292288035690554,110, process 3626769, thread 2732793856, correlation 12387
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035690614,1739292288035690715,101, process 3626769, thread 2732793856, correlation 12388
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035690775,1739292288035690965,190, process 3626769, thread 2732793856, correlation 12389
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288035691106,1739292288035691296,190, process 3626769, thread 2732793856, correlation 12390
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288035691356,1739292288035691456,100, process 3626769, thread 2732793856, correlation 12391
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035691516,1739292288035691727,211, process 3626769, thread 2732793856, correlation 12392
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035691787,1739292288035691987,200, process 3626769, thread 2732793856, correlation 12393
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035692268,1739292288035692378,110, process 3626769, thread 2732793856, correlation 12394
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035692438,1739292288035692538,100, process 3626769, thread 2732793856, correlation 12395
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035692598,1739292288035692789,191, process 3626769, thread 2732793856, correlation 12396
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288035692939,1739292288035693119,180, process 3626769, thread 2732793856, correlation 12397
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288035693190,1739292288035693279,89, process 3626769, thread 2732793856, correlation 12398
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035693350,1739292288035693550,200, process 3626769, thread 2732793856, correlation 12399
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035693610,1739292288035693811,201, process 3626769, thread 2732793856, correlation 12400
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035694332,1739292288035694442,110, process 3626769, thread 2732793856, correlation 12401
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035694502,1739292288035694602,100, process 3626769, thread 2732793856, correlation 12402
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035694662,1739292288035694853,191, process 3626769, thread 2732793856, correlation 12403
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288035695003,1739292288035695183,180, process 3626769, thread 2732793856, correlation 12404
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288035695253,1739292288035695343,90, process 3626769, thread 2732793856, correlation 12405
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035695403,1739292288035695614,211, process 3626769, thread 2732793856, correlation 12406
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035695674,1739292288035695875,201, process 3626769, thread 2732793856, correlation 12407
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035696185,1739292288035696305,120, process 3626769, thread 2732793856, correlation 12408
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035696365,1739292288035696456,91, process 3626769, thread 2732793856, correlation 12409
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035696526,1739292288035696706,180, process 3626769, thread 2732793856, correlation 12410
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288035696856,1739292288035697047,191, process 3626769, thread 2732793856, correlation 12411
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288035697107,1739292288035697207,100, process 3626769, thread 2732793856, correlation 12412
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035697267,1739292288035697478,211, process 3626769, thread 2732793856, correlation 12413
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035697538,1739292288035697728,190, process 3626769, thread 2732793856, correlation 12414
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035698139,1739292288035698249,110, process 3626769, thread 2732793856, correlation 12415
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035698309,1739292288035698409,100, process 3626769, thread 2732793856, correlation 12416
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035698469,1739292288035698660,191, process 3626769, thread 2732793856, correlation 12417
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288035698810,1739292288035699000,190, process 3626769, thread 2732793856, correlation 12418
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288035699061,1739292288035699151,90, process 3626769, thread 2732793856, correlation 12419
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035699211,1739292288035699421,210, process 3626769, thread 2732793856, correlation 12420
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035699481,1739292288035699682,201, process 3626769, thread 2732793856, correlation 12421
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035700954,1739292288035701064,110, process 3626769, thread 2732793856, correlation 12422
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035701134,1739292288035701225,91, process 3626769, thread 2732793856, correlation 12423
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035701285,1739292288035701475,190, process 3626769, thread 2732793856, correlation 12424
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288035701625,1739292288035701816,191, process 3626769, thread 2732793856, correlation 12425
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288035701876,1739292288035701976,100, process 3626769, thread 2732793856, correlation 12426
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035702036,1739292288035702247,211, process 3626769, thread 2732793856, correlation 12427
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035702307,1739292288035702507,200, process 3626769, thread 2732793856, correlation 12428
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035703689,1739292288035703789,100, process 3626769, thread 2732793856, correlation 12429
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035703859,1739292288035703960,101, process 3626769, thread 2732793856, correlation 12430
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035704020,1739292288035704210,190, process 3626769, thread 2732793856, correlation 12431
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288035704340,1739292288035704531,191, process 3626769, thread 2732793856, correlation 12432
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288035704591,1739292288035704691,100, process 3626769, thread 2732793856, correlation 12433
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035704751,1739292288035704961,210, process 3626769, thread 2732793856, correlation 12434
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035705022,1739292288035705222,200, process 3626769, thread 2732793856, correlation 12435
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035706144,1739292288035706264,120, process 3626769, thread 2732793856, correlation 12436
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035706344,1739292288035706434,90, process 3626769, thread 2732793856, correlation 12437
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035706495,1739292288035706685,190, process 3626769, thread 2732793856, correlation 12438
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288035706835,1739292288035707036,201, process 3626769, thread 2732793856, correlation 12439
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288035707096,1739292288035707196,100, process 3626769, thread 2732793856, correlation 12440
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035707256,1739292288035707466,210, process 3626769, thread 2732793856, correlation 12441
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035707526,1739292288035707717,191, process 3626769, thread 2732793856, correlation 12442
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035708047,1739292288035708158,111, process 3626769, thread 2732793856, correlation 12443
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035708218,1739292288035708318,100, process 3626769, thread 2732793856, correlation 12444
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035708378,1739292288035708568,190, process 3626769, thread 2732793856, correlation 12445
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288035708709,1739292288035708899,190, process 3626769, thread 2732793856, correlation 12446
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288035708959,1739292288035709059,100, process 3626769, thread 2732793856, correlation 12447
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035709119,1739292288035709330,211, process 3626769, thread 2732793856, correlation 12448
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035709390,1739292288035709590,200, process 3626769, thread 2732793856, correlation 12449
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035710682,1739292288035710803,121, process 3626769, thread 2732793856, correlation 12450
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035710853,1739292288035710953,100, process 3626769, thread 2732793856, correlation 12451
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035711013,1739292288035711203,190, process 3626769, thread 2732793856, correlation 12452
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288035711374,1739292288035711554,180, process 3626769, thread 2732793856, correlation 12453
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288035711614,1739292288035711704,90, process 3626769, thread 2732793856, correlation 12454
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035711774,1739292288035711985,211, process 3626769, thread 2732793856, correlation 12455
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035712045,1739292288035712245,200, process 3626769, thread 2732793856, correlation 12456
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035712556,1739292288035712666,110, process 3626769, thread 2732793856, correlation 12457
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035712726,1739292288035712836,110, process 3626769, thread 2732793856, correlation 12458
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035712896,1739292288035713087,191, process 3626769, thread 2732793856, correlation 12459
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288035713217,1739292288035713408,191, process 3626769, thread 2732793856, correlation 12460
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288035713468,1739292288035713568,100, process 3626769, thread 2732793856, correlation 12461
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035713628,1739292288035713838,210, process 3626769, thread 2732793856, correlation 12462
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035713898,1739292288035714089,191, process 3626769, thread 2732793856, correlation 12463
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035714389,1739292288035714499,110, process 3626769, thread 2732793856, correlation 12464
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035714560,1739292288035714660,100, process 3626769, thread 2732793856, correlation 12465
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035714720,1739292288035714910,190, process 3626769, thread 2732793856, correlation 12466
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288035715040,1739292288035715231,191, process 3626769, thread 2732793856, correlation 12467
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288035715291,1739292288035715391,100, process 3626769, thread 2732793856, correlation 12468
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035715451,1739292288035715652,201, process 3626769, thread 2732793856, correlation 12469
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035715712,1739292288035715912,200, process 3626769, thread 2732793856, correlation 12470
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035716373,1739292288035716483,110, process 3626769, thread 2732793856, correlation 12471
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035716543,1739292288035716643,100, process 3626769, thread 2732793856, correlation 12472
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035716704,1739292288035716894,190, process 3626769, thread 2732793856, correlation 12473
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288035717044,1739292288035717235,191, process 3626769, thread 2732793856, correlation 12474
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288035717295,1739292288035717385,90, process 3626769, thread 2732793856, correlation 12475
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035717445,1739292288035717656,211, process 3626769, thread 2732793856, correlation 12476
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035717716,1739292288035717916,200, process 3626769, thread 2732793856, correlation 12477
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035718577,1739292288035718698,121, process 3626769, thread 2732793856, correlation 12478
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035718758,1739292288035718848,90, process 3626769, thread 2732793856, correlation 12479
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035718918,1739292288035719108,190, process 3626769, thread 2732793856, correlation 12480
RUNTIME cudaLaunchKernel_v7000 (cbid=211), 1739292288035719228,1739292288035719419,191, process 3626769, thread 2732793856, correlation 12481
RUNTIME cudaDeviceSynchronize_v3020 (cbid=165), 1739292288035719479,1739292288035719579,100, process 3626769, thread 2732793856, correlation 12482
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035719639,1739292288035719849,210, process 3626769, thread 2732793856, correlation 12483
RUNTIME cudaMemcpy_v3020 (cbid=31), 1739292288035719910,1739292288035720100,190, process 3626769, thread 2732793856, correlation 12484
RUNTIME cudaMemset_v3020 (cbid=49), 1739292288035721533,1739292288035721643,110, process 3626769, thread 2732793856, correlation 12485
